# Pathway	SRR579277_Abundance
UNMAPPED	13082.1465475996
UNINTEGRATED	7467.4442038933
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1901.0443422274
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	1359.1049152360
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	1035.9268610975
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	592.1946503173
PWY-7219: adenosine ribonucleotides de novo biosynthesis	11.9387679041
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	3.1526815795
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.3637862031
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	1.2669305567
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_dorei	1.0936725567
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	10.0494935514
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Eubacterium.s__Eubacterium_rectale	3.7452673881
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.4176196036
PWY-6737: starch degradation V	9.8205320023
PWY-6737: starch degradation V|g__Eubacterium.s__Eubacterium_rectale	2.6647023392
PWY-6737: starch degradation V|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.2369109890
PWY-5686: UMP biosynthesis	7.4646866772
PWY-5097: L-lysine biosynthesis VI	7.0798180950
PWY-5097: L-lysine biosynthesis VI|g__Eubacterium.s__Eubacterium_rectale	1.5014865083
PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_stercoris	1.4255216324
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	7.0639738181
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_rectale	1.6683704471
PWY-6151: S-adenosyl-L-methionine cycle I	6.6424706537
PWY-2942: L-lysine biosynthesis III	6.5123819892
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_stercoris	1.5960300608
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	6.5035059627
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.8978164671
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	6.4286093467
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Eubacterium.s__Eubacterium_rectale	1.6801290994
ARO-PWY: chorismate biosynthesis I	6.2740257926
ARO-PWY: chorismate biosynthesis I|g__Eubacterium.s__Eubacterium_rectale	1.5637381012
NONMEVIPP-PWY: methylerythritol phosphate pathway I	6.0599804315
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	5.8005065949
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	5.5796071873
PWY-5667: CDP-diacylglycerol biosynthesis I	5.2781689020
PWY0-1319: CDP-diacylglycerol biosynthesis II	5.2781689020
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	4.7697169615
PWY-1042: glycolysis IV (plant cytosol)	4.7654715395
CALVIN-PWY: Calvin-Benson-Bassham cycle	4.7380189724
PWY-6897: thiamin salvage II	4.6366660451
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	4.5003401828
PWY-6317: galactose degradation I (Leloir pathway)	4.3328961211
PWY66-422: D-galactose degradation V (Leloir pathway)	4.3328961211
PWY66-422: D-galactose degradation V (Leloir pathway)|g__Eubacterium.s__Eubacterium_rectale	2.1856512555
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	4.1980801962
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	4.1200584861
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Eubacterium.s__Eubacterium_rectale	1.9163425126
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	4.1138566909
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	4.1138566909
PWY-7111: pyruvate fermentation to isobutanol (engineered)	4.0558360772
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.3183397977
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Eubacterium.s__Eubacterium_rectale	1.0441477101
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_stercoris	0.6690397593
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	4.0281498702
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Eubacterium.s__Eubacterium_rectale	1.5358641136
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	3.7312095573
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.5552787184
VALSYN-PWY: L-valine biosynthesis	3.7312095573
VALSYN-PWY: L-valine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.5552787184
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_rectale	1.0441477101
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0.6690397593
PANTO-PWY: phosphopantothenate biosynthesis I	3.7037571248
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_dorei	1.5750735534
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	3.6940237239
PWY-3841: folate transformations II	3.4095490248
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	3.2989523242
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_stercoris	1.6620780014
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	3.2706796412
PWY0-1296: purine ribonucleosides degradation	3.2076606633
PWY0-1296: purine ribonucleosides degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.6216724775
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	3.1994227554
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	3.1340584171
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.4958367626
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	3.1333810891
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_rectale	2.4282272629
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	3.0625872285
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.9672321244
PWY-7221: guanosine ribonucleotides de novo biosynthesis	3.0274646445
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	2.9946525648
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	2.9573749341
PWY-5973: cis-vaccenate biosynthesis	2.8979194697
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	2.8834607808
PWY-5103: L-isoleucine biosynthesis III	2.8663219231
PWY-5103: L-isoleucine biosynthesis III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.4018296741
PWY-3001: superpathway of L-isoleucine biosynthesis I	2.8654583823
PWY-621: sucrose degradation III (sucrose invertase)	2.7731566137
PWY-621: sucrose degradation III (sucrose invertase)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.7168397055
PWY-5367: petroselinate biosynthesis	2.7171921531
PWY-5367: petroselinate biosynthesis|g__Eubacterium.s__Eubacterium_rectale	1.8479069590
PWY-5101: L-isoleucine biosynthesis II	2.6642209092
THRESYN-PWY: superpathway of L-threonine biosynthesis	2.6337792922
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	2.5408862043
PWY-6609: adenine and adenosine salvage III	2.5355138512
PWY-6609: adenine and adenosine salvage III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.5384615385
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	2.5063472269
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.2722295306
PWY-6703: preQ0 biosynthesis	2.4418694802
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	2.4071995693
PWY-6527: stachyose degradation	2.3611553067
PWY-7663: gondoate biosynthesis (anaerobic)	2.0528111556
PWY-7663: gondoate biosynthesis (anaerobic)|g__Bacteroides.s__Bacteroides_stercoris	1.4959109180
PWY-5100: pyruvate fermentation to acetate and lactate II	1.8480651514
PWY-5177: glutaryl-CoA degradation	1.7985886579
PWY-5177: glutaryl-CoA degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.6613320861
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	1.6544603632
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.9972360093
GALACTUROCAT-PWY: D-galacturonate degradation I	1.6264590752
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.3675151239
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	1.6087923979
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.9562696894
COA-PWY: coenzyme A biosynthesis I	1.6077563595
PWY-7242: D-fructuronate degradation	1.5987899808
PWY-7242: D-fructuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.3108384072
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	1.5554629530
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.3027783613
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	1.3009473440
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	1.3009473440
PWY-5989: stearate biosynthesis II (bacteria and plants)	1.2747053824